"","Genotype","Treatment","ID","Date","Type","value"
"53","9018","Control","9018.8","10/30","WU (L)",0.4108901578
"54","9018","Control","9018.8","11/02","WU (L)",0.4177901578
"55","9018","Control","9018.8","11/04","WU (L)",0.280999999999999
"56","9018","Control","9018.8","11/06","WU (L)",0.446999999999999
"57","9018","Control","9018.8","11/09","WU (L)",0.776
"58","9018","Control","9018.8","11/11","WU (L)",0.4
"59","9018","Control","9018.8","11/13","WU (L)",0.532
"60","9018","Control","9018.8","11/23","WU (L)",0.7815
"61","9018","Control","9018.8","11/25","WU (L)",0.810758078
"62","9018","Control","9018.8","11/27","WU (L)",1.0579
"63","9018","Control","9018.8","11/30","WU (L)",1.0532
"64","9018","Control","9018.8","12/02","WU (L)",0.984829039
"65","9018","Control","9018.8","12/04","WU (L)",1.214829039
"66","9018","Control","9018.8","12/07","WU (L)",1.7395
"67","9018","Control","9018.8","12/09","WU (L)",0.9175
"68","9018","Control","9018.8","12/14","WU (L)",2
"69","9018","Control","9018.9","10/28","WU (L)",0.4015653668
"70","9018","Control","9018.9","10/30","WU (L)",0.3819653668
"71","9018","Control","9018.9","11/02","WU (L)",0.4603653668
"72","9018","Control","9018.9","11/04","WU (L)",0.2175
"73","9018","Control","9018.9","11/06","WU (L)",0.374
"74","9018","Control","9018.9","11/09","WU (L)",0.768
"75","9018","Control","9018.9","11/11","WU (L)",0.46
"76","9018","Control","9018.9","11/13","WU (L)",0.652
"77","9018","Control","9018.9","11/23","WU (L)",0.862
"78","9018","Control","9018.9","11/25","WU (L)",0.798258078
"79","9018","Control","9018.9","11/27","WU (L)",1.2914
"80","9018","Control","9018.9","11/30","WU (L)",1.0117
"81","9018","Control","9018.9","12/02","WU (L)",0.714829039
"82","9018","Control","9018.9","12/04","WU (L)",1.074829039
"83","9018","Control","9018.9","12/07","WU (L)",1.54
"84","9018","Control","9018.9","12/09","WU (L)",1.022
"85","9018","Control","9018.9","12/14","WU (L)",1.205
"86","9018","Control","9018.9","12/16","WU (L)",0.977499999999999
"87","9018","Drought","9018.1","10/28","WU (L)",0.29413881175
"88","9018","Drought","9018.1","10/30","WU (L)",0.23863881175
"89","9018","Drought","9018.1","11/06","WU (L)",0.1635
"90","9018","Drought","9018.1","11/09","WU (L)",0.32
"91","9018","Drought","9018.1","11/11","WU (L)",0.254
"92","9018","Drought","9018.1","11/13","WU (L)",0.24
"93","9018","Drought","9018.1","11/16","WU (L)",0.170000000000001
"94","9018","Drought","9018.1","11/23","WU (L)",0.154
"95","9018","Drought","9018.1","11/25","WU (L)",0.200000000000001
"96","9018","Drought","9018.1","11/27","WU (L)",0.27525
"97","9018","Drought","9018.1","11/30","WU (L)",0.2927
"98","9018","Drought","9018.1","12/02","WU (L)",0.168149999999999
"99","9018","Drought","9018.1","12/04","WU (L)",0.138150000000001
"100","9018","Drought","9018.1","12/07","WU (L)",0.062
"101","9018","Drought","9018.1","12/09","WU (L)",0.184
"102","9018","Drought","9018.1","12/14","WU (L)",0.206666666666666
"103","9018","Drought","9018.1","12/16","WU (L)",0.18
"104","9018","Drought","9018.2","10/28","WU (L)",0.19547121675
"105","9018","Drought","9018.2","10/30","WU (L)",0.12597121675
"106","9018","Drought","9018.2","11/11","WU (L)",0.0739999999999997
"107","9018","Drought","9018.2","11/16","WU (L)",0.12
"108","9018","Drought","9018.2","11/23","WU (L)",0.00399999999999943
"109","9018","Drought","9018.2","11/25","WU (L)",0.0399999999999995
"110","9018","Drought","9018.2","11/27","WU (L)",0.0667500000000005
"111","9018","Drought","9018.2","11/30","WU (L)",0.0711999999999996
"112","9018","Drought","9018.2","12/02","WU (L)",0.0581499999999999
"113","9018","Drought","9018.2","12/04","WU (L)",0.0281500000000005
"114","9018","Drought","9018.2","12/14","WU (L)",0.0766666666666665
"115","9018","Drought","9018.2","12/16","WU (L)",0.064652043000001
"116","9018","Drought","9018.3","10/28","WU (L)",0.48381476275
"117","9018","Drought","9018.3","10/30","WU (L)",0.47731476275
"118","9018","Drought","9018.3","11/06","WU (L)",0.36
"119","9018","Drought","9018.3","11/09","WU (L)",0.5745
"120","9018","Drought","9018.3","11/11","WU (L)",0.394000000000001
"121","9018","Drought","9018.3","11/13","WU (L)",0.4
"122","9018","Drought","9018.3","11/16","WU (L)",0.229999999999999
"123","9018","Drought","9018.3","11/23","WU (L)",0.214
"124","9018","Drought","9018.3","11/25","WU (L)",0.269
"125","9018","Drought","9018.3","11/27","WU (L)",0.34325
"126","9018","Drought","9018.3","11/30","WU (L)",0.2732
"127","9018","Drought","9018.3","12/02","WU (L)",0.25815
"128","9018","Drought","9018.3","12/04","WU (L)",0.11815
"129","9018","Drought","9018.3","12/07","WU (L)",0.142
"130","9018","Drought","9018.3","12/09","WU (L)",0.264000000000001
"131","9018","Drought","9018.3","12/14","WU (L)",0.284166666666667
"132","9018","Drought","9018.4","10/28","WU (L)",0.62435608175
"133","9018","Drought","9018.4","10/30","WU (L)",0.41885608175
"134","9018","Drought","9018.4","11/06","WU (L)",0.262
"135","9018","Drought","9018.4","11/09","WU (L)",0.451
"136","9018","Drought","9018.4","11/11","WU (L)",0.364
"137","9018","Drought","9018.4","11/13","WU (L)",0.33
"138","9018","Drought","9018.4","11/16","WU (L)",0.130000000000001
"139","9018","Drought","9018.4","11/23","WU (L)",0.273539462
"140","9018","Drought","9018.4","11/25","WU (L)",0.16
"141","9018","Drought","9018.4","11/27","WU (L)",0.29975
"142","9018","Drought","9018.4","11/30","WU (L)",0.3387
"143","9018","Drought","9018.4","12/02","WU (L)",0.21815
"144","9018","Drought","9018.4","12/04","WU (L)",0.11815
"145","9018","Drought","9018.4","12/07","WU (L)",0.0820000000000004
"146","9018","Drought","9018.4","12/09","WU (L)",0.193999999999999
"147","9018","Drought","9018.4","12/14","WU (L)",0.196666666666666
"148","9018","Drought","9018.5","10/28","WU (L)",0.18151114175
"149","9018","Drought","9018.5","10/30","WU (L)",0.25401114175
"150","9018","Drought","9018.5","11/06","WU (L)",0.0904999999999995
"151","9018","Drought","9018.5","11/09","WU (L)",0.274
"152","9018","Drought","9018.5","11/11","WU (L)",0.249
"153","9018","Drought","9018.5","11/13","WU (L)",0.219999999999999
"154","9018","Drought","9018.5","11/16","WU (L)",0.210000000000001
"155","9018","Drought","9018.5","11/23","WU (L)",0.1775
"156","9018","Drought","9018.5","11/25","WU (L)",0.1795
"157","9018","Drought","9018.5","11/27","WU (L)",0.20675
"158","9018","Drought","9018.5","11/30","WU (L)",0.2172
"159","9018","Drought","9018.5","12/02","WU (L)",0.20815
"160","9018","Drought","9018.5","12/04","WU (L)",0.12815
"161","9018","Drought","9018.5","12/07","WU (L)",0.0799999999999998
"162","9018","Drought","9018.5","12/09","WU (L)",0.0535000000000001
"163","b40-14","Control","b40-14.10","10/28","WU (L)",0.6687501398
"164","b40-14","Control","b40-14.10","10/30","WU (L)",0.7066501398
"165","b40-14","Control","b40-14.10","11/02","WU (L)",0.6865501388
"166","b40-14","Control","b40-14.10","11/04","WU (L)",0.592
"167","b40-14","Control","b40-14.10","11/06","WU (L)",0.7
"168","b40-14","Control","b40-14.10","11/09","WU (L)",0.8885
"169","b40-14","Control","b40-14.10","11/11","WU (L)",0.583500000000001
"170","b40-14","Control","b40-14.10","11/13","WU (L)",0.682
"171","b40-14","Control","b40-14.10","11/23","WU (L)",0.7245
"172","b40-14","Control","b40-14.10","11/25","WU (L)",0.739758078
"173","b40-14","Control","b40-14.10","11/27","WU (L)",0.874900000000001
"174","b40-14","Control","b40-14.10","11/30","WU (L)",0.853700000000001
"175","b40-14","Control","b40-14.10","12/02","WU (L)",0.724829039
"176","b40-14","Control","b40-14.10","12/04","WU (L)",1.154829039
"177","b40-14","Control","b40-14.10","12/07","WU (L)",1.398
"178","b40-14","Control","b40-14.10","12/09","WU (L)",0.725
"179","b40-14","Control","b40-14.6","10/28","WU (L)",0.6301452178
"180","b40-14","Control","b40-14.6","10/30","WU (L)",0.6496452178
"181","b40-14","Control","b40-14.6","11/02","WU (L)",0.6694452178
"182","b40-14","Control","b40-14.6","11/06","WU (L)",0.7615
"183","b40-14","Control","b40-14.6","11/09","WU (L)",1.015
"184","b40-14","Control","b40-14.6","11/11","WU (L)",0.68
"185","b40-14","Control","b40-14.6","11/13","WU (L)",0.762
"186","b40-14","Control","b40-14.6","11/23","WU (L)",0.6405
"187","b40-14","Control","b40-14.6","11/25","WU (L)",0.831758078
"188","b40-14","Control","b40-14.6","11/27","WU (L)",0.9059
"189","b40-14","Control","b40-14.6","11/30","WU (L)",0.8667
"190","b40-14","Control","b40-14.6","12/02","WU (L)",0.874829039
"191","b40-14","Control","b40-14.6","12/04","WU (L)",0.924829039
"192","b40-14","Control","b40-14.6","12/07","WU (L)",1.6075
"193","b40-14","Control","b40-14.6","12/09","WU (L)",1.066
"194","b40-14","Control","b40-14.6","12/14","WU (L)",1.826
"195","b40-14","Control","b40-14.7","10/28","WU (L)",0.4621475398
"196","b40-14","Control","b40-14.7","10/30","WU (L)",0.6365475398
"197","b40-14","Control","b40-14.7","11/02","WU (L)",0.6449475398
"198","b40-14","Control","b40-14.7","11/04","WU (L)",0.5375
"199","b40-14","Control","b40-14.7","11/06","WU (L)",0.634
"200","b40-14","Control","b40-14.7","11/09","WU (L)",0.818
"201","b40-14","Control","b40-14.7","11/11","WU (L)",0.61
"202","b40-14","Control","b40-14.7","11/13","WU (L)",0.697044568
"203","b40-14","Control","b40-14.7","11/23","WU (L)",0.821999999999999
"204","b40-14","Control","b40-14.7","11/25","WU (L)",0.788258078
"205","b40-14","Control","b40-14.7","11/27","WU (L)",0.9139
"206","b40-14","Control","b40-14.7","11/30","WU (L)",1.2252
"207","b40-14","Control","b40-14.7","12/02","WU (L)",0.694829038999999
"208","b40-14","Control","b40-14.7","12/04","WU (L)",1.194829039
"209","b40-14","Control","b40-14.7","12/07","WU (L)",2.26
"210","b40-14","Control","b40-14.7","12/09","WU (L)",0.702
"211","b40-14","Control","b40-14.7","12/14","WU (L)",1.395
"212","b40-14","Control","b40-14.7","12/16","WU (L)",0.950272284
"213","b40-14","Control","b40-14.8","10/28","WU (L)",0.3657389968
"214","b40-14","Control","b40-14.8","10/30","WU (L)",0.3301389968
"215","b40-14","Control","b40-14.8","11/02","WU (L)",0.4425389968
"216","b40-14","Control","b40-14.8","11/04","WU (L)",0.3375
"217","b40-14","Control","b40-14.8","11/06","WU (L)",0.454
"218","b40-14","Control","b40-14.8","11/09","WU (L)",0.638
"219","b40-14","Control","b40-14.8","11/11","WU (L)",0.51
"220","b40-14","Control","b40-14.8","11/13","WU (L)",0.602
"221","b40-14","Control","b40-14.8","11/20","WU (L)",0.7825
"222","b40-14","Control","b40-14.8","11/23","WU (L)",0.972000000000001
"223","b40-14","Control","b40-14.8","11/25","WU (L)",0.858258078
"224","b40-14","Control","b40-14.8","11/27","WU (L)",0.9134
"225","b40-14","Control","b40-14.8","11/30","WU (L)",0.8562
"226","b40-14","Control","b40-14.8","12/02","WU (L)",0.824829039
"227","b40-14","Control","b40-14.8","12/04","WU (L)",1.194829039
"228","b40-14","Control","b40-14.8","12/07","WU (L)",1.83
"229","b40-14","Control","b40-14.8","12/09","WU (L)",0.932
"230","b40-14","Control","b40-14.8","12/14","WU (L)",1.365
"231","b40-14","Control","b40-14.8","12/16","WU (L)",0.9275
"232","b40-14","Control","b40-14.9","10/28","WU (L)",0.6633926648
"233","b40-14","Control","b40-14.9","10/30","WU (L)",0.6037926648
"234","b40-14","Control","b40-14.9","11/02","WU (L)",0.6996926648
"235","b40-14","Control","b40-14.9","11/04","WU (L)",0.475
"236","b40-14","Control","b40-14.9","11/06","WU (L)",0.683999999999999
"237","b40-14","Control","b40-14.9","11/09","WU (L)",0.898
"238","b40-14","Control","b40-14.9","11/11","WU (L)",0.73
"239","b40-14","Control","b40-14.9","11/13","WU (L)",0.862000000000001
"240","b40-14","Control","b40-14.9","11/23","WU (L)",0.832
"241","b40-14","Control","b40-14.9","11/25","WU (L)",0.588258078
"242","b40-14","Control","b40-14.9","11/27","WU (L)",1.31915
"243","b40-14","Control","b40-14.9","11/30","WU (L)",1.0462
"244","b40-14","Control","b40-14.9","12/02","WU (L)",0.794829039
"245","b40-14","Control","b40-14.9","12/04","WU (L)",1.154829039
"246","b40-14","Control","b40-14.9","12/07","WU (L)",1.82
"247","b40-14","Control","b40-14.9","12/09","WU (L)",0.872
"248","b40-14","Control","b40-14.9","12/14","WU (L)",1.1525
"249","b40-14","Drought","b40-14.1","10/28","WU (L)",0.60624791075
"250","b40-14","Drought","b40-14.1","10/30","WU (L)",0.61924791075
"251","b40-14","Drought","b40-14.1","11/06","WU (L)",0.3335
"252","b40-14","Drought","b40-14.1","11/09","WU (L)",0.4895
"253","b40-14","Drought","b40-14.1","11/11","WU (L)",0.4275
"254","b40-14","Drought","b40-14.1","11/13","WU (L)",0.299999999999999
"255","b40-14","Drought","b40-14.1","11/16","WU (L)",0.0800000000000008
"256","b40-14","Drought","b40-14.1","11/23","WU (L)",0.1295
"257","b40-14","Drought","b40-14.1","11/25","WU (L)",0.27
"258","b40-14","Drought","b40-14.1","11/27","WU (L)",0.27575
"259","b40-14","Drought","b40-14.1","11/30","WU (L)",0.1807
"260","b40-14","Drought","b40-14.1","12/02","WU (L)",0.19815
"261","b40-14","Drought","b40-14.1","12/04","WU (L)",0.0481500000000001
"262","b40-14","Drought","b40-14.2","10/28","WU (L)",0.68028133675
"263","b40-14","Drought","b40-14.2","10/30","WU (L)",0.71328133675
"264","b40-14","Drought","b40-14.2","11/06","WU (L)",0.3655
"265","b40-14","Drought","b40-14.2","11/09","WU (L)",0.47
"266","b40-14","Drought","b40-14.2","11/11","WU (L)",0.394
"267","b40-14","Drought","b40-14.2","11/13","WU (L)",0.4
"268","b40-14","Drought","b40-14.2","11/16","WU (L)",0.0799999999999999
"269","b40-14","Drought","b40-14.2","11/23","WU (L)",0.0165000000000005
"270","b40-14","Drought","b40-14.2","11/25","WU (L)",0.1325
"271","b40-14","Drought","b40-14.2","11/27","WU (L)",0.20725
"272","b40-14","Drought","b40-14.2","11/30","WU (L)",0.1662
"273","b40-14","Drought","b40-14.2","12/02","WU (L)",0.14815
"274","b40-14","Drought","b40-14.2","12/04","WU (L)",0.0581500000000007
"275","b40-14","Drought","b40-14.2","12/14","WU (L)",0.0946666666666663
"276","b40-14","Drought","b40-14.3","10/28","WU (L)",0.66994382575
"277","b40-14","Drought","b40-14.3","10/30","WU (L)",0.60444382575
"278","b40-14","Drought","b40-14.3","11/06","WU (L)",0.362
"279","b40-14","Drought","b40-14.3","11/09","WU (L)",0.56
"280","b40-14","Drought","b40-14.3","11/11","WU (L)",0.494
"281","b40-14","Drought","b40-14.3","11/13","WU (L)",0.410000000000001
"282","b40-14","Drought","b40-14.3","11/16","WU (L)",0.0999999999999995
"283","b40-14","Drought","b40-14.3","11/23","WU (L)",0.274
"284","b40-14","Drought","b40-14.3","11/25","WU (L)",0.2
"285","b40-14","Drought","b40-14.3","11/27","WU (L)",0.318749999999999
"286","b40-14","Drought","b40-14.3","11/30","WU (L)",0.3292
"287","b40-14","Drought","b40-14.3","12/02","WU (L)",0.25815
"288","b40-14","Drought","b40-14.3","12/04","WU (L)",0.0781500000000003
"289","b40-14","Drought","b40-14.3","12/07","WU (L)",0.0319999999999997
"290","b40-14","Drought","b40-14.3","12/09","WU (L)",0.00399999999999996
"291","b40-14","Drought","b40-14.3","12/14","WU (L)",0.256666666666666
"292","b40-14","Drought","b40-14.4","10/28","WU (L)",0.42449721475
"293","b40-14","Drought","b40-14.4","10/30","WU (L)",0.48299721475
"294","b40-14","Drought","b40-14.4","11/06","WU (L)",0.252000000000001
"295","b40-14","Drought","b40-14.4","11/09","WU (L)",0.3
"296","b40-14","Drought","b40-14.4","11/11","WU (L)",0.334
"297","b40-14","Drought","b40-14.4","11/13","WU (L)",0.2
"298","b40-14","Drought","b40-14.4","11/20","WU (L)",0.0433333333333333
"299","b40-14","Drought","b40-14.4","11/23","WU (L)",0.0739999999999997
"300","b40-14","Drought","b40-14.4","11/25","WU (L)",0.1
"301","b40-14","Drought","b40-14.4","11/27","WU (L)",0.12675
"302","b40-14","Drought","b40-14.4","11/30","WU (L)",0.133200000000001
"303","b40-14","Drought","b40-14.4","12/02","WU (L)",0.10815
"304","b40-14","Drought","b40-14.4","12/04","WU (L)",0.0281500000000005
"305","b40-14","Drought","b40-14.4","12/14","WU (L)",0.0666666666666667
"306","b40-14","Drought","b40-14.4","12/16","WU (L)",0.0800000000000005
"307","b40-14","Drought","b40-14.5","10/28","WU (L)",0.49122701975
"308","b40-14","Drought","b40-14.5","10/30","WU (L)",0.54572701975
"309","b40-14","Drought","b40-14.5","11/06","WU (L)",0.2945
"310","b40-14","Drought","b40-14.5","11/09","WU (L)",0.48
"311","b40-14","Drought","b40-14.5","11/11","WU (L)",0.414
"312","b40-14","Drought","b40-14.5","11/13","WU (L)",0.33
"313","b40-14","Drought","b40-14.5","11/16","WU (L)",0.0900000000000006
"314","b40-14","Drought","b40-14.5","11/23","WU (L)",0.124
"315","b40-14","Drought","b40-14.5","11/25","WU (L)",0.12
"316","b40-14","Drought","b40-14.5","11/27","WU (L)",0.136750000000001
"317","b40-14","Drought","b40-14.5","11/30","WU (L)",0.1682
"318","b40-14","Drought","b40-14.5","12/02","WU (L)",0.18815
"319","b40-14","Drought","b40-14.5","12/04","WU (L)",0.0981499999999999
"320","b40-14","Drought","b40-14.5","12/14","WU (L)",0.186666666666667
"321","b40-14","Drought","b40-14.5","12/16","WU (L)",0.170000000000001
"322","b42-34","Control","b42-34.10","10/28","WU (L)",0.4014038068
"323","b42-34","Control","b42-34.10","10/30","WU (L)",0.4318038068
"324","b42-34","Control","b42-34.10","11/02","WU (L)",0.5002038068
"325","b42-34","Control","b42-34.10","11/04","WU (L)",0.266499999999999
"326","b42-34","Control","b42-34.10","11/06","WU (L)",0.424
"327","b42-34","Control","b42-34.10","11/09","WU (L)",0.638
"328","b42-34","Control","b42-34.10","11/11","WU (L)",0.359999999999999
"329","b42-34","Control","b42-34.10","11/13","WU (L)",0.432
"330","b42-34","Control","b42-34.10","11/23","WU (L)",0.172
"331","b42-34","Control","b42-34.10","11/25","WU (L)",1.398258078
"332","b42-34","Control","b42-34.10","11/27","WU (L)",0.6764
"333","b42-34","Control","b42-34.10","11/30","WU (L)",0.5947
"334","b42-34","Control","b42-34.10","12/02","WU (L)",0.434829039
"335","b42-34","Control","b42-34.10","12/04","WU (L)",0.814829039
"336","b42-34","Control","b42-34.10","12/07","WU (L)",1.49
"337","b42-34","Control","b42-34.10","12/09","WU (L)",0.932
"338","b42-34","Control","b42-34.10","12/14","WU (L)",1.0625
"339","b42-34","Control","b42-34.6","10/28","WU (L)",0.2668063138
"340","b42-34","Control","b42-34.6","10/30","WU (L)",0.3642063138
"341","b42-34","Control","b42-34.6","11/02","WU (L)",0.3236063138
"342","b42-34","Control","b42-34.6","11/04","WU (L)",0.2105
"343","b42-34","Control","b42-34.6","11/06","WU (L)",0.316
"344","b42-34","Control","b42-34.6","11/09","WU (L)",0.5605
"345","b42-34","Control","b42-34.6","11/11","WU (L)",0.3845
"346","b42-34","Control","b42-34.6","11/13","WU (L)",0.412
"347","b42-34","Control","b42-34.6","11/23","WU (L)",0.2425
"348","b42-34","Control","b42-34.6","11/25","WU (L)",0.391758078000001
"349","b42-34","Control","b42-34.6","11/27","WU (L)",0.6929
"350","b42-34","Control","b42-34.6","11/30","WU (L)",0.4352
"351","b42-34","Control","b42-34.6","12/02","WU (L)",0.374829039
"352","b42-34","Control","b42-34.6","12/04","WU (L)",0.794829039
"353","b42-34","Control","b42-34.6","12/07","WU (L)",1.8595
"354","b42-34","Control","b42-34.6","12/09","WU (L)",0.703
"355","b42-34","Control","b42-34.7","10/28","WU (L)",0.3177074278
"356","b42-34","Control","b42-34.7","10/30","WU (L)",0.2281074278
"357","b42-34","Control","b42-34.7","11/02","WU (L)",0.2765074278
"358","b42-34","Control","b42-34.7","11/06","WU (L)",0.274
"359","b42-34","Control","b42-34.7","11/09","WU (L)",0.468000000000001
"360","b42-34","Control","b42-34.7","11/11","WU (L)",0.300000000000001
"361","b42-34","Control","b42-34.7","11/13","WU (L)",0.352
"362","b42-34","Control","b42-34.7","11/23","WU (L)",0.202
"363","b42-34","Control","b42-34.7","11/25","WU (L)",0.398258078000001
"364","b42-34","Control","b42-34.7","11/27","WU (L)",0.6479
"365","b42-34","Control","b42-34.7","11/30","WU (L)",0.6967
"366","b42-34","Control","b42-34.7","12/02","WU (L)",0.314829039
"367","b42-34","Control","b42-34.7","12/04","WU (L)",0.674829039
"368","b42-34","Control","b42-34.7","12/07","WU (L)",1.14
"369","b42-34","Control","b42-34.7","12/09","WU (L)",0.432
"370","b42-34","Control","b42-34.7","12/14","WU (L)",0.905
"371","b42-34","Control","b42-34.7","12/16","WU (L)",0.696052228
"372","b42-34","Control","b42-34.8","10/30","WU (L)",0.0298316618
"373","b42-34","Control","b42-34.8","11/02","WU (L)",0.1402316618
"374","b42-34","Control","b42-34.8","11/04","WU (L)",0.0475
"375","b42-34","Control","b42-34.8","11/06","WU (L)",0.124
"376","b42-34","Control","b42-34.8","11/09","WU (L)",0.178
"377","b42-34","Control","b42-34.8","11/11","WU (L)",0.14
"378","b42-34","Control","b42-34.8","11/13","WU (L)",0.172328691
"379","b42-34","Control","b42-34.8","11/20","WU (L)",0.2125
"380","b42-34","Control","b42-34.8","11/23","WU (L)",0.382
"381","b42-34","Control","b42-34.8","11/25","WU (L)",0.278258078
"382","b42-34","Control","b42-34.8","11/27","WU (L)",0.360900000000001
"383","b42-34","Control","b42-34.8","11/30","WU (L)",0.1972
"384","b42-34","Control","b42-34.8","12/02","WU (L)",0.194829039
"385","b42-34","Control","b42-34.8","12/04","WU (L)",0.544829039
"386","b42-34","Control","b42-34.8","12/07","WU (L)",1.06
"387","b42-34","Control","b42-34.8","12/09","WU (L)",0.462
"388","b42-34","Control","b42-34.8","12/14","WU (L)",0.815
"389","b42-34","Control","b42-34.8","12/16","WU (L)",0.4775
"390","b42-34","Control","b42-34.9","10/28","WU (L)",0.3652951718
"391","b42-34","Control","b42-34.9","10/30","WU (L)",0.3296951718
"392","b42-34","Control","b42-34.9","11/02","WU (L)",0.4660951718
"393","b42-34","Control","b42-34.9","11/04","WU (L)",0.293
"394","b42-34","Control","b42-34.9","11/06","WU (L)",0.4395
"395","b42-34","Control","b42-34.9","11/09","WU (L)",0.678
"396","b42-34","Control","b42-34.9","11/11","WU (L)",0.33
"397","b42-34","Control","b42-34.9","11/13","WU (L)",0.432
"398","b42-34","Control","b42-34.9","11/23","WU (L)",0.365
"399","b42-34","Control","b42-34.9","11/25","WU (L)",0.508758078
"400","b42-34","Control","b42-34.9","11/27","WU (L)",0.7334
"401","b42-34","Control","b42-34.9","11/30","WU (L)",0.6257
"402","b42-34","Control","b42-34.9","12/02","WU (L)",0.554829039
"403","b42-34","Control","b42-34.9","12/04","WU (L)",0.904829039
"404","b42-34","Control","b42-34.9","12/07","WU (L)",1.4515
"405","b42-34","Control","b42-34.9","12/09","WU (L)",0.6909
"406","b42-34","Control","b42-34.9","12/14","WU (L)",1.866
"407","b42-34","Drought","b42-34.1","10/28","WU (L)",0.17804503275
"408","b42-34","Drought","b42-34.1","10/30","WU (L)",0.30754503275
"409","b42-34","Drought","b42-34.1","11/06","WU (L)",0.1745
"410","b42-34","Drought","b42-34.1","11/09","WU (L)",0.27
"411","b42-34","Drought","b42-34.1","11/11","WU (L)",0.174
"412","b42-34","Drought","b42-34.1","11/13","WU (L)",0.19
"413","b42-34","Drought","b42-34.1","11/16","WU (L)",0.16
"414","b42-34","Drought","b42-34.1","11/25","WU (L)",0.1685
"415","b42-34","Drought","b42-34.1","11/27","WU (L)",0.23675
"416","b42-34","Drought","b42-34.1","11/30","WU (L)",0.1867
"417","b42-34","Drought","b42-34.1","12/02","WU (L)",0.20815
"418","b42-34","Drought","b42-34.1","12/04","WU (L)",0.10815
"419","b42-34","Drought","b42-34.1","12/07","WU (L)",0.102
"420","b42-34","Drought","b42-34.1","12/09","WU (L)",0.00399999999999996
"421","b42-34","Drought","b42-34.2","10/28","WU (L)",0.43360909975
"422","b42-34","Drought","b42-34.2","10/30","WU (L)",0.45260909975
"423","b42-34","Drought","b42-34.2","11/06","WU (L)",0.2555
"424","b42-34","Drought","b42-34.2","11/09","WU (L)",0.4415
"425","b42-34","Drought","b42-34.2","11/11","WU (L)",0.3985
"426","b42-34","Drought","b42-34.2","11/13","WU (L)",0.27
"427","b42-34","Drought","b42-34.2","11/16","WU (L)",0.21
