E,A,Ci,gsw,intrinsic,inst,Vcmax,J,Amax,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SA(Spongy)/SAWMES,SA(Palisade/SAWMES),SA(SPOnGY+Palisade)/SAWMES,LWP,PD
0.00501904,10.5117222,271.897078,0.15679431,67.04147746,2094.369083,102.954326,178.2569405,21.65145647,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163,0.290607218,0.197602366,0.511790415,0.38610017,175.7256205,149.373474,0.197602366,0.511790415,0.709392782,-12.9,-9
0.00186535,6.95464945,247.765896,0.08071282,86.1653632,3728.33487,94.2017467,87.34617032,15.14940107,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128,0.307680268,0.208547608,0.483772124,0.431086452,167.401994,138.7615945,0.208547608,0.483772124,0.692319732,-14,-6.3
0.00040546,3.88940738,112.957586,0.02235721,173.9665808,9592.579737,7.364815867,44.41027959,3.231246023,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65,0.42539146,0.266554399,0.308054142,0.865284255,218.005381,178.5568217,0.266554399,0.308054142,0.574608541,-14,-7
0.000703456,2.805456351,219.4916851,0.026921558,104.2085437,3988.106496,6.647478588,33.82198249,2.86563353,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113,0.439435226,0.232098886,0.328465889,0.706614884,220.2150177,181.1612315,0.232098886,0.328465889,0.560564775,-14.1,-7.8
0.000214786,2.124521779,36.25203308,0.009576951,221.8369712,9891.348874,13.63121677,1.535788698,2.557700065,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178,0.405162541,0.285963069,0.30887439,0.925823178,229.140532,186.3755489,0.285963069,0.30887439,0.594837459,-11.5,-8.5
0.000115152,0.271590933,228.7928854,0.002881826,94.24266407,2358.541945,105.7952242,169.4728622,11.87833938,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69,0.409958667,0.274817342,0.315223991,0.871816073,232.5955925,192.0361928,0.274817342,0.315223991,0.590041334,-12,-7.1
0.003264392,7.485331792,240.6363918,0.088029216,85.03235802,2293.024925,64.29089008,65.48830873,10.01468988,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215,0.27698066,0.34095573,0.382063611,0.892405662,128.8909643,102.4179029,0.34095573,0.382063611,0.72301934,-7.5,-7
0.003973913,13.53880413,291.408744,0.228405497,59.2752991,3406.919823,133.4834926,177.6941077,22.64775912,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254,0.323014781,0.333147002,0.343838218,0.968906259,141.4756546,112.8630956,0.333147002,0.343838218,0.676985219,-13.9,-10.4
0.00232394,13.52529388,218.750228,0.128375376,105.3573847,5819.984486,157.3116573,253.120283,26.83130842,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61,0.340511549,0.322481394,0.337007057,0.956898047,131.4121648,102.7387844,0.322481394,0.337007057,0.659488451,-9.5,-9.2
0.00647641,11.79432792,244.0355162,0.145942115,80.815109,1821.121272,105.3831996,170.5173107,18.70651468,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163,0.318021053,0.293174583,0.388804364,0.754041389,135.4311786,109.1470129,0.293174583,0.388804364,0.681978947,-14.5,-10.6
0.003045586,11.7117939,164.9151662,0.086833537,134.8763891,3845.49742,160.6666071,197.447407,23.28199595,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128,0.309977696,0.400291313,0.289730991,1.381596465,167.0212604,137.6714961,0.400291313,0.289730991,0.690022304,-9.5,-5.1
0.000718559,6.677625881,123.9818411,0.040136225,166.3740375,9293.081332,142.0486607,242.7479548,23.28195723,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65,0.245938739,0.453084527,0.300976734,1.505380569,176.272645,144.9152443,0.453084527,0.300976734,0.754061261,-9.3,-11.7
0.001662515,10.63888855,165.5708358,0.076843418,138.4489242,6399.274019,48.69639016,91.62561834,18.01275391,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113,0.259119406,0.419608169,0.321272424,1.306082122,178.5175276,147.6545109,0.419608169,0.321272424,0.740880594,-12,-4.1
0.000854708,6.438131115,170.8453747,0.047266542,136.2090578,7532.546507,71.40156597,104.7960356,9.749867269,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178,0.235413068,0.467642978,0.296943954,1.574852665,201.7396744,170.5291987,0.467642978,0.296943954,0.764586932,-11,-8
0.00403265,5.445783486,247.0278938,0.071463762,76.20342613,1350.42317,77.09120905,107.7281686,19.07612026,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69,0.379693919,0.275985605,0.344320477,0.801537008,195.1364696,152.9458924,0.275985605,0.344320477,0.620306081,-10,-6.3
0.000923337,7.954317444,143.3588493,0.051769025,153.6501296,8614.750226,63.96270835,86.17444875,14.07938683,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215,0.350093782,0.266488328,0.38341789,0.695033629,184.5696706,145.8020478,0.266488328,0.38341789,0.649906218,-13.5,-6.2
0.00116078,9.095861763,167.5429107,0.065583471,138.6913759,7835.991597,67.40646074,155.3011666,15.14736431,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254,0.354631674,0.296298526,0.349069801,0.848823144,208.267796,163.9839465,0.296298526,0.349069801,0.645368327,-13.3,-5.3
0.000654775,6.475946267,100.4283936,0.036050932,179.6332558,9890.338995,85.1016808,90.81113495,16.2917435,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61,0.403977349,0.260369349,0.335653301,0.775709186,217.7786966,170.1067135,0.260369349,0.335653301,0.596022651,-13.5,-8
0.004570263,17.42954819,191.3800566,0.147778167,117.9440004,3813.686132,159.2964367,188.4975462,27.14255499,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163,0.380726394,0.294078589,0.325195018,0.904314559,162.819969,134.5236563,0.294078589,0.325195018,0.619273606,-11.5,-6.4
0.003095895,15.47889188,243.8141674,0.174414392,88.74779044,4999.812006,104.8276545,163.7899381,22.95062157,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128,0.340659081,0.315526323,0.343814596,0.917722303,156.9330839,128.4512315,0.315526323,0.343814596,0.659340919,-11.5,-12.1
0.002692009,15.06876595,173.8817806,0.116051779,129.8451962,5597.591975,148.9635786,199.3287015,23.90417962,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65,0.361916855,0.301868378,0.336214766,0.897843903,173.1489506,144.5216061,0.301868378,0.336214766,0.638083145,-12.9,-7.8
0.0008169,7.79425013,111.728987,0.04474125,174.2072501,9541.253679,67.02898731,122.2266223,11.25872441,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113,0.326215355,0.237339585,0.436445059,0.543801746,190.3608323,155.8741597,0.237339585,0.436445059,0.673784645,-14,-11.9
0.00020482,1.4162288,187.930609,0.01117015,126.7869098,6914.504443,13.27691593,29.46316071,6.477831768,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178,0.241148096,0.355450208,0.403401696,0.88113216,154.4771896,122.1244575,0.355450208,0.403401696,0.758851904,-11.3,-8.3
0.004570263,17.42954819,191.3800566,0.147778167,117.9440004,3813.686132,159.2964367,188.4975462,27.14255499,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69,0.259250322,0.352934758,0.38781492,0.910059773,164.2271307,131.0150103,0.352934758,0.38781492,0.740749678,-14,-9.3
0.00501904,10.5117222,271.897078,0.15679431,67.04147746,2094.369083,102.954326,178.2569405,21.65145647,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215,0.195613658,0.37496295,0.429423392,0.873177747,165.1165567,128.5724519,0.37496295,0.429423392,0.804386342,-14.1,-6
0.000654775,6.475946267,100.4283936,0.036050932,179.6332558,9890.338995,85.1016808,90.81113495,16.2917435,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254,0.242019214,0.367998717,0.38998207,0.943629836,135.5856808,103.9005281,0.367998717,0.38998207,0.757980786,-9.5,-8.8
