A,Ci,gsw,E,intrWUE_AE,instWUE_AGs,Vcmax,J,LWP,PD,Porosity,Mesophyll_SV/Total_MesophyllV,Mesophyll_PV/Total mesophyllV,Mesophyll_SV/Mesophyll_PV,Leaf_Width_um,Mesophyll_Width_um,SASP/SAWM,SAPa/SAWM,SA(SP+PA)/SAWM,Lat,Long,Annual.Mean.Temperature,Mean.Diurnal.Range..Mean.of.monthly..max.temp...min.temp..,Isothermality..BIO2.BIO7.....100.,Temperature.Seasonality..standard.deviation..100.,Max.Temperature.of.Warmest.Month,Min.Temperature.of.Coldest.Month,Temperature.Annual.Range..BIO5.BIO6.,Mean.Temperature.of.Wettest.Quarter,Mean.Temperature.of.Driest.Quarter,Mean.Temperature.of.Warmest.Quarter,Mean.Temperature.of.Coldest.Quarter,Annual.Precipitation,Precipitation.of.Wettest.Month,Precipitation.of.Driest.Month,Precipitation.Seasonality..Coefficient.of.Variation.,Precipitation.of.Wettest.Quarter,Precipitation.of.Driest.Quarter,Precipitation.of.Warmest.Quarter,Precipitation.of.Coldest.Quarter
-0.110860792,387.8548689,0.006280641,0.401512519,-0.276107933,-17.65118953,13.63121677,1.535788698,-12,-7,0.405162541,0.285963069,0.30887439,0.925823178,229.140532,186.3755489,0.285963069,0.30887439,0.594837459,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
-0.073983659,382.5792283,0.004736365,0.32021737,-0.231041991,-15.62034599,105.7952242,169.4728622,-7.5,-8.5,0.409958667,0.274817342,0.315223991,0.871816073,232.5955925,192.0361928,0.274817342,0.315223991,0.590041334,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
1.017303462,163.9687703,0.007632243,0.353277789,2.879613417,133.290228,64.29089008,65.48830873,-13.9,-7.1,0.27698066,0.34095573,0.382063611,0.892405662,128.8909643,102.4179029,0.34095573,0.382063611,0.72301934,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
-0.008616866,361.8983252,0.004969254,0.331874344,-0.025964244,-1.73403617,133.8186789,174.4612628,-9.5,-7,0.323014781,0.333147002,0.343838218,0.968906259,141.4756546,112.8630956,0.333147002,0.343838218,0.676985219,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
1.282067677,171.0941237,0.009653921,0.303129305,4.229441544,132.8027926,133.4834926,177.6941077,-14.5,-10.4,0.340511549,0.322481394,0.337007057,0.956898047,131.4121648,102.7387844,0.322481394,0.337007057,0.659488451,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
-0.182095811,407.9891451,0.005787203,0.379569418,-0.479743105,-31.46525204,157.3116573,253.120283,-9.5,-9.2,0.318021053,0.293174583,0.388804364,0.754041389,135.4311786,109.1470129,0.293174583,0.388804364,0.681978947,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
-0.135715109,644.7339709,0.000772836,0.033666843,-4.031120762,-175.6066388,105.3831996,170.5173107,-9.3,-10.6,0.309977696,0.400291313,0.289730991,1.381596465,167.0212604,137.6714961,0.400291313,0.289730991,0.690022304,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
3.289939664,175.8733272,0.027672581,1.704939326,1.92965205,118.8880688,160.6666071,197.447407,-12,-5.1,0.245938739,0.453084527,0.300976734,1.505380569,176.272645,144.9152443,0.453084527,0.300976734,0.754061261,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
9.791456483,159.2512316,0.073554685,2.082289085,4.702256068,133.1180542,142.0486607,242.7479548,-11,-4.1,0.259119406,0.419608169,0.321272424,1.306082122,178.5175276,147.6545109,0.419608169,0.321272424,0.740880594,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
1.879954442,91.37992251,0.010393552,0.436478303,4.30709712,180.8769856,48.69639016,91.62561834,-10,-8,0.235413068,0.467642978,0.296943954,1.574852665,201.7396744,170.5291987,0.467642978,0.296943954,0.764586932,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
5.735756473,187.5435864,0.049608756,1.932648702,2.967821553,115.6198409,71.40156597,104.7960356,-13.5,-6.3,0.379693919,0.275985605,0.344320477,0.801537008,195.1364696,152.9458924,0.275985605,0.344320477,0.620306081,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
4.34869434,62.64878873,0.021676739,0.576709252,7.540531597,200.6157073,77.09120905,107.7281686,-13.3,-6.2,0.350093782,0.266488328,0.38341789,0.695033629,184.5696706,145.8020478,0.266488328,0.38341789,0.649906218,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
1.595572953,226.5774522,0.018297677,1.134238544,1.406734907,87.20084699,63.96270835,86.17444875,-13.5,-5.3,0.354631674,0.296298526,0.349069801,0.848823144,208.267796,163.9839465,0.296298526,0.349069801,0.645368327,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
0.400323882,322.1568286,0.015174209,0.908653736,0.440568135,26.38186244,67.40646074,155.3011666,-11.5,-8,0.403977349,0.260369349,0.335653301,0.775709186,217.7786966,170.1067135,0.260369349,0.335653301,0.596022651,34.0083,-100.282,16.5,15,38,853.6,35.8,-3.5,39.3,25.2,5.2,27.3,5.2,565,83,17,49,213,61,191,61
1.502478024,210.3060707,0.01518167,0.89462577,1.679448631,98.96658533,85.1016808,90.81113495,-11.5,-6.4,0.380726394,0.294078589,0.325195018,0.904314559,162.819969,134.5236563,0.294078589,0.325195018,0.619273606,30.6327,-97.6772,19.2,12.4,38,705,35,2.5,32.5,23.1,10.9,27.9,9.8,837,114,43,31,278,163,182,163
5.51845047,153.311467,0.039004935,1.044245837,5.284627695,141.4808278,159.2964367,188.4975462,-12.9,-12.1,0.340659081,0.315526323,0.343814596,0.917722303,156.9330839,128.4512315,0.315526323,0.343814596,0.659340919,27.4525,-107.712,15.5,18.1,59,438.6,30.6,0,30.6,20.3,14.9,20.9,9.9,891,226,10,92,549,45,503,128
3.316051583,165.7095865,0.025088017,0.973590088,3.406003845,132.176712,104.8276545,163.7899381,-14.6,-7.8,0.361916855,0.301868378,0.336214766,0.897843903,173.1489506,144.5216061,0.301868378,0.336214766,0.638083145,25.1085528,-99.8062,22.1,13.9,48,516,35.9,7.1,28.8,25.7,15.1,28.2,15.1,849,180,19,68,393,65,297,65
-0.298046386,514.4669616,0.003552485,0.097339441,-3.061928251,-83.89798856,148.9635786,199.3287015,-9.5,-11.9,0.326215355,0.237339585,0.436445059,0.543801746,190.3608323,155.8741597,0.237339585,0.436445059,0.673784645,30.7592,-98.7003,18.8,14.5,41,720.9,35.6,0.7,34.9,22.9,9.1,27.7,9.1,701,101,30,35,240,113,179,113
0.016989239,380.0940895,0.013727674,0.391230162,0.043425177,1.237590493,13.27691593,29.46316071,-11.5,-8.3,0.241148096,0.355450208,0.403401696,0.88113216,154.4771896,122.1244575,0.355450208,0.403401696,0.758851904,43.841723,-73.387025,7.2,12.3,29,996.8,27.8,-13.6,41.4,18.4,-5,19.5,-6.3,919,104,53,18,275,172,273,178
4.456609485,269.8753342,0.046953139,1.622011929,2.747581201,94.91611394,122.6666512,190.259038,-14,-9.3,0.259250322,0.352934758,0.38781492,0.910059773,164.2271307,131.0150103,0.352934758,0.38781492,0.740749678,35.6689,-105.3361,6.7,16.8,47,667.1,25.2,-10.5,35.7,14.8,-0.4,15.5,-1.5,526,100,21,60,251,69,244,69
1.476857591,420.699615,0.016061218,0.59418497,2.485518257,91.95178185,102.954326,178.2569405,-11.5,-6,0.195613658,0.37496295,0.429423392,0.873177747,165.1165567,128.5724519,0.37496295,0.429423392,0.804386342,37.76774,-90.3835,12.4,13.1,34,892.4,31.4,-6.9,38.3,12.4,0.4,23.6,0.4,1105,117,62,18,330,215,290,215
-0.188502306,318.9306817,0.007390009,0.228777247,-0.823955655,-25.50772367,73.3076098,117.8822643,-11,-8.8,0.242019214,0.367998717,0.38998207,0.943629836,135.5856808,103.9005281,0.367998717,0.38998207,0.757980786,40.380579,-75.032293,10.7,11.7,32,877,29.5,-6.8,36.3,21,-0.8,21.9,-0.8,1172,117,75,12,329,254,325,254
