,E,A,Ci,gsw,Intrinsic,Instantaneous,Vcmax,Amax,J,LWP,PD,,,,,,,,,,,
J,0.44,-0.3,-0.19,-0.02,0.42,0.45,-0.3,-0.19,-0.44,,,,,,,,,,,,,
LWP,0.18,-0.7*,0.49,-0.76*,0.15,0.14,-0.7*,0.49,-0.18,,,,,,,,,,,,,
PD,0.49,-0.83*,0.27,-0.66,0.41,0.44,-0.83*,0.27,-0.49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Lat,Long,AMT,MDR,Isoth.,TCV,MaxTWAM,Min.TCM,TAR,MTWEQ,MTDQ,MTWAQ,MTCQ,APRE,PRE WEM,PRE DM,PRE CV,PRE WQ,PRE DQ,PRE WAQ,PRE CQ,
E,0.35,0.51,-0.07,-0.39,-0.49,0.48,0.12,-0.18,0.41,0.28,-0.36,0.16,-0.23,-0.01,-0.44,0.24,-0.43,-0.47,0.19,-0.37,0.01,
A,0.33,0.36,-0.08,-0.27,-0.46,0.49,0.12,-0.22,0.48,0.05,-0.37,0.15,-0.25,-0.09,-0.54,0.22,-0.46,-0.56,0.19,-0.46,0.01,
Ci,0.17,0.48,0.09,-0.46,-0.33,0.23,0.17,0.09,0.02,0.39,-0.12,0.23,-0.01,0.37,-0.13,0.42,-0.35,-0.1,0.4,-0.04,0.31,
gsw,0.31,0.48,-0.01,-0.41,-0.47,0.44,0.16,-0.11,0.33,0.24,-0.31,0.21,-0.18,0.11,-0.43,0.34,-0.48,-0.43,0.31,-0.34,0.14,
intrinsic,-0.04,-0.45,-0.24,0.4,0.22,-0.11,-0.28,-0.22,0.09,-0.64,-0.1,-0.33,-0.14,-0.35,-0.04,-0.29,0.24,-0.05,-0.3,-0.07,-0.32,
inst,-0.18,-0.49,-0.08,0.45,0.34,-0.24,-0.16,-0.07,-0.04,-0.4,0.13,-0.22,0.03,-0.35,0.14,-0.41,0.35,0.12,-0.39,0.05,-0.3,
Vcmax,0.39,0.48,-0.12,-0.36,-0.52,0.54,0.1,-0.26,0.52,0.18,-0.43,0.13,-0.3,-0.1,-0.51,0.18,-0.41,-0.54,0.12,-0.43,-0.09,
Amax,0.3,0.37,-0.05,-0.38,-0.49,0.47,0.12,-0.19,0.42,0.07,-0.37,0.17,-0.22,-0.13,-0.51,0.16,-0.41,-0.58,0.11,-0.53,-0.15,
J,0.4,0.47,-0.12,-0.38,-0.55,0.57,0.11,-0.28,0.55,0.18,-0.44,0.14,-0.31,-0.13,-0.52,0.15,-0.4,-0.56,0.09,-0.46,-0.13,
LWP,0.45,0.27,-0.48,-0.23,-0.34,0.31,-0.46,-0.42,0.24,-0.35,-0.5,-0.39,-0.46,0.02,-0.53,0.48,-0.49,-0.45,0.48,-0.33,0.38,
PD,0.67*,0.47,-0.62,-0.32,-0.54,0.56,-0.5,-0.63,0.53,-0.3,-0.75*,-0.43,-0.67*,-0.07,-0.72*,0.48,-0.58,-0.66,0.44,-0.45,0.24,
Porosity,0.19,-0.24,-0.42,0.47,0.09,0.11,-0.34,-0.44,0.39,-0.21,-0.37,-0.42,-0.35,-0.68*,-0.41,-0.38,0.19,-0.45,-0.43,-0.25,-0.55,
MSV/TMV,-0.6,-0.36,0.65,-0.01,0.28,-0.41,0.55,0.64,-0.51,0.24,0.63,0.54,0.64,0.06,0.46,-0.29,0.32,0.36,-0.26,0.07,-0.22,
MPV/TMV,0.38,0.63,-0.18,-0.52,-0.38,0.28,-0.17,-0.14,0.07,0,-0.21,-0.07,-0.24,0.7*,0.01,0.71*,-0.52,0.15,0.74*,0.21,0.84*,
MSV/MPV,-0.6,-0.54,0.55,0.23,0.37,-0.41,0.48,0.52,-0.38,0.23,0.52,0.42,0.56,-0.31,0.29,-0.56,0.49,0.15,-0.56,-0.07,-0.62,
Lwidth,0.06,-0.36,-0.19,0.33,0,0.14,-0.07,-0.25,0.34,-0.16,-0.27,-0.13,-0.18,-0.77*,-0.57,-0.37,0.08,-0.65,-0.41,-0.56,-0.63,
Mwidth,0.13,-0.3,-0.25,0.3,-0.04,0.18,-0.13,-0.31,0.38,-0.19,-0.33,-0.19,-0.25,-0.73*,-0.57,-0.34,0.07,-0.63,-0.38,-0.53,-0.6,
SAS/SATM,-0.6,-0.36,0.65,-0.01,0.28,-0.41,0.55,0.64,-0.51,0.24,0.63,0.54,0.64,0.06,0.46,-0.29,0.32,0.36,-0.26,0.07,-0.22,
SAP/SATM,0.38,0.63,-0.18,-0.52,-0.38,0.28,-0.17,-0.14,0.07,0,-0.21,-0.07,-0.24,0.7*,0.01,0.71*,-0.52,0.15,0.74*,0.21,0.84*,
SASP/SATM,-0.19,0.24,0.42,-0.47,-0.09,-0.11,0.34,0.44,-0.39,0.21,0.37,0.42,0.35,0.68*,0.41,0.38,-0.19,0.45,0.43,0.25,0.55,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Porosity,MSV/TMV,MPV/TMV,MSV/MPV,Lwidth,Mwidth,SAS/SATM,SAP/SATM,SASP/SATM,,,,,,,,,,,,,
Porosity,,-0.56,-0.57,-0.03,0.9*,0.91*,-0.56,-0.57,-1*,,,,,,,,,,,,,
MSV/TMV,-0.56,,-0.36,0.83*,-0.29,-0.31,1*,-0.36,0.56,,,,,,,,,,,,,
MPV/TMV,-0.57,-0.36,,-0.79*,-0.72*,-0.72*,-0.36,1*,0.57,,,,,,,,,,,,,
MSV/MPV,-0.03,0.83*,-0.79*,,0.22,0.22,0.83*,-0.79*,0.03,,,,,,,,,,,,,
Lwidth,0.9*,-0.29,-0.72*,0.22,,0.99*,-0.29,-0.72*,-0.9*,,,,,,,,,,,,,
Mwidth,0.91*,-0.31,-0.72*,0.22,0.99*,,-0.31,-0.72*,*-0.91*,,,,,,,,,,,,,
SAS/SATM,-0.56,1*,-0.36,0.83*,-0.29,-0.31,,-0.36,0.56,,,,,,,,,,,,,
SAP/SATM,-0.57,-0.36,1*,-0.79*,-0.72*,-0.72*,-0.36,,0.57,,,,,,,,,,,,,
SASP/SATM,-1*,0.56,0.57,0.03,-0.9*,-0.91*,0.56,0.57,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
